epoch,acc,loss,val_acc,val_loss
0,0.3079599999809265,1.9459920207977295,0.3726,1.7756269088745118
1,0.41247999999046325,1.6504385578918457,0.4378,1.5889501092910767
2,0.45058000000953674,1.5378407455062866,0.4694,1.4922323459625244
3,0.4791200000190735,1.459586766166687,0.4882,1.4255427890777588
4,0.50346,1.3993716669464111,0.5215,1.362181184577942
5,0.5214799999809265,1.351231270713806,0.5255,1.3419408767700196
6,0.5388600000190735,1.3079118733978272,0.5348,1.3020590253829956
7,0.5540399999809266,1.269885331878662,0.5413,1.2984836502075194
8,0.564319999961853,1.236311923751831,0.5491,1.2419698600769042
9,0.5788,1.2053291416168213,0.5544,1.240602051925659
10,0.588540000038147,1.1780272701263428,0.5742,1.2039703535079955
11,0.597840000038147,1.1520701370239257,0.5856,1.1640766313552857
12,0.606819999961853,1.1272566953659058,0.5868,1.1724041484832763
13,0.6138000000381469,1.1052743597602843,0.6152,1.1007630361557006
14,0.623700000038147,1.082866075115204,0.6086,1.1034786664962768
15,0.6296800000190735,1.0640578715896607,0.609,1.099084035015106
16,0.63578,1.0455100569915772,0.6213,1.082741672229767
17,0.6431199999809265,1.0251061167526245,0.6275,1.0619342332839965
18,0.6477599999618531,1.0110497009658814,0.6357,1.0321990865707398
19,0.656039999961853,0.9936398824310303,0.6228,1.0691331623077394
20,0.6615799999809265,0.9757666220855713,0.6454,1.0176585057258607
21,0.6682,0.962099167804718,0.6404,1.0362915760993958
22,0.6733399999809265,0.9471508226776123,0.6376,1.044606127166748
23,0.67756,0.9333615336608887,0.6507,1.000442341041565
24,0.6843799999618531,0.9170680434799194,0.6583,0.9819726064682007
25,0.689259999961853,0.9042153351593017,0.6681,0.9634589149475098
26,0.69404,0.8927694319534302,0.6518,1.0134666481018066
27,0.6978799999809265,0.8796136762619019,0.663,0.9726314893722534
28,0.70096,0.8670360186386108,0.6694,0.9690081547737122
29,0.7054800000190735,0.855406946144104,0.6622,0.9851637386322022
30,0.7083600000190735,0.8453361560630799,0.6847,0.916411916923523
31,0.71398,0.8329368801498414,0.6803,0.937805877494812
32,0.7174599999809265,0.8228374860954285,0.6853,0.9327438420295715
33,0.7206599999809266,0.8111066899299622,0.6738,0.947783039188385
34,0.7253800000190734,0.8010862182617188,0.6849,0.9266432354927063
35,0.7271400000190735,0.7895737941741944,0.6719,0.9611721437454224
36,0.7329,0.7818208548164368,0.6862,0.9255081625938415
37,0.7358200000190734,0.7714358751869201,0.691,0.923700095653534
38,0.7403,0.760166928730011,0.6982,0.8952209859848023
39,0.7428399999809265,0.7521736610221863,0.6913,0.9051879371643067
40,0.746380000038147,0.7427645831108093,0.6952,0.9013360158920288
41,0.7493400000190735,0.7327425097465515,0.6624,0.9738567766189575
42,0.7530400000190735,0.7249620804023743,0.6998,0.8905922310829163
43,0.7565399999618531,0.7154867471504212,0.6903,0.9222123811721802
44,0.7579400000190735,0.70754799243927,0.6831,0.9417925313949584
45,0.762019999961853,0.6978094111633301,0.7042,0.8697977655410767
46,0.76586,0.6885891826438904,0.6899,0.9236936117172241
47,0.768959999961853,0.6813214440250397,0.6987,0.877348266506195
48,0.7704000000190735,0.6743318600654602,0.7063,0.8759067094802856
49,0.7741,0.6645881251144409,0.7093,0.8508435985565186
50,0.7767199999809266,0.657493431339264,0.7099,0.8557032897949218
51,0.7787600000190735,0.6492461929702759,0.705,0.8853871963500977
52,0.7817,0.6415630970954895,0.7039,0.8787997075080871
53,0.7830199999809265,0.6340766862869263,0.6954,0.915852766418457
54,0.7864400000190734,0.6254305002212525,0.7004,0.8923184511184692
